"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
1,"[KZ]_ July",2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-29,2019-07-29
1,"[KZ]_ July",2019-07-30,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-30,2019-07-30
1,[RU]_RF,2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-11,2019-07-11
4,[RU]_July_moscow,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-18,2019-07-18
5,"[UA]_ July",2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516222990549,23843516223260549,2019-07-10,2019-07-10
4,[RU]_July_moscow,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-17,2019-07-17
1,[RU]_RF,2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-12,2019-07-12
4,[RU]_July_moscow,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-28,2019-07-28
1,[RU]_RF,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-10,2019-07-10
1,[RU]_July_moscow,2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-20,2019-07-20
1,[RU]_July_moscow,2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-08,2019-07-08
1,[RU]_July_moscow,2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-07,2019-07-07
1,[RU]_July_moscow,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-10,2019-07-10
1,[RU]_July_moscow,2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-09,2019-07-09
1,[RU]_July_moscow,2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-11,2019-07-11
1,[RU]_July_moscow,2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-12,2019-07-12
1,[RU]_July_moscow,2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-13,2019-07-13
1,[RU]_July_moscow,2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-14,2019-07-14
1,[RU]_July_moscow,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-15,2019-07-15
1,[RU]_July_moscow,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-17,2019-07-17
1,[RU]_July_moscow,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-18,2019-07-18
1,[RU]_July_moscow,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-19,2019-07-19
1,[RU]_July_moscow,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-22,2019-07-22
1,[RU]_July_moscow,2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-05,2019-07-05
1,[RU]_July_moscow,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-21,2019-07-21
1,[RU]_July_moscow,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-23,2019-07-23
1,[RU]_July_moscow,2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-24,2019-07-24
1,[RU]_July_moscow,2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-26,2019-07-26
1,[RU]_July_moscow,2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-27,2019-07-27
4,[RU]_July_moscow,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-28,2019-07-28
4,[RU]_July_moscow,2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-27,2019-07-27
1,[RU]_July_moscow,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-28,2019-07-28
1,[RU]_July_moscow,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-16,2019-07-16
1,[RU]_July_moscow,2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-06,2019-07-06
1,[RU]_July_moscow,2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-04,2019-07-04
3,[RU]_July_moscow,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-16,2019-07-16
3,[RU]_July_moscow,2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-04,2019-07-04
3,[RU]_July_moscow,2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-05,2019-07-05
3,[RU]_July_moscow,2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-06,2019-07-06
3,[RU]_July_moscow,2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-07,2019-07-07
3,[RU]_July_moscow,2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-08,2019-07-08
3,[RU]_July_moscow,2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-09,2019-07-09
3,[RU]_July_moscow,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-10,2019-07-10
3,[RU]_July_moscow,2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-11,2019-07-11
3,[RU]_July_moscow,2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-12,2019-07-12
3,[RU]_July_moscow,2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-13,2019-07-13
3,[RU]_July_moscow,2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-14,2019-07-14
3,[RU]_July_moscow,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-15,2019-07-15
3,[RU]_July_moscow,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-17,2019-07-17
1,[RU]_July_moscow,2019-07-03,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-03,2019-07-03
3,[RU]_July_moscow,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-18,2019-07-18
3,[RU]_July_moscow,2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-20,2019-07-20
3,[RU]_July_moscow,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-19,2019-07-19
3,[RU]_July_moscow,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-22,2019-07-22
3,[RU]_July_moscow,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-21,2019-07-21
3,[RU]_July_moscow,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-23,2019-07-23
3,[RU]_July_moscow,2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-24,2019-07-24
3,[RU]_July_moscow,2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-26,2019-07-26
3,[RU]_July_moscow,2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-27,2019-07-27
3,[RU]_July_moscow,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223090549,23843516223260549,2019-07-28,2019-07-28
4,[RU]_July_moscow,2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-29,2019-07-29
1,[RU]_July_moscow,2019-07-01,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-01,2019-07-01
1,[RU]_July_moscow,2019-07-02,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223080549,23843516223260549,2019-07-02,2019-07-02
1,[RU]_RF,2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-09,2019-07-09
4,[RU]_July_moscow,2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-24,2019-07-24
4,[RU]_July_moscow,2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-12,2019-07-12
4,[RU]_July_moscow,2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-11,2019-07-11
4,[RU]_July_moscow,2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-13,2019-07-13
4,[RU]_July_moscow,2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-14,2019-07-14
4,[RU]_July_moscow,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-16,2019-07-16
4,[RU]_July_moscow,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-18,2019-07-18
4,[RU]_July_moscow,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-17,2019-07-17
4,[RU]_July_moscow,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-19,2019-07-19
4,[RU]_July_moscow,2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-20,2019-07-20
4,[RU]_July_moscow,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-21,2019-07-21
4,[RU]_July_moscow,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-22,2019-07-22
4,[RU]_July_moscow,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-23,2019-07-23
4,[RU]_July_moscow,2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-25,2019-07-25
4,[RU]_July_moscow,2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-09,2019-07-09
4,[RU]_July_moscow,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-15,2019-07-15
4,[RU]_July_moscow,2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-26,2019-07-26
4,[RU]_July_moscow,2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-27,2019-07-27
2,[RU]_July_moscow,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-22,2019-07-22
1,[RU]_RF,2019-07-01,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-01,2019-07-01
1,[RU]_RF,2019-07-31,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-31,2019-07-31
1,[RU]_RF,2019-07-02,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-02,2019-07-02
1,[RU]_RF,2019-07-03,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-03,2019-07-03
1,[RU]_RF,2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-04,2019-07-04
1,[RU]_RF,2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-05,2019-07-05
1,[RU]_RF,2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-06,2019-07-06
1,[RU]_RF,2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-07,2019-07-07
1,[RU]_RF,2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-08,2019-07-08
4,[RU]_July_moscow,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-10,2019-07-10
4,[RU]_July_moscow,2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-08,2019-07-08
4,[RU]_July_moscow,2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-26,2019-07-26
4,[RU]_July_moscow,2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-07,2019-07-07
4,[RU]_July_moscow,2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-25,2019-07-25
4,[RU]_July_moscow,2019-07-01,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-01,2019-07-01
4,[RU]_July_moscow,2019-07-02,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-02,2019-07-02
4,[RU]_July_moscow,2019-07-03,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-03,2019-07-03
4,[RU]_July_moscow,2019-07-04,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-04,2019-07-04
4,[RU]_July_moscow,2019-07-05,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-05,2019-07-05
4,[RU]_July_moscow,2019-07-06,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843516223100549,23843516223260549,2019-07-06,2019-07-06
2,[RU]_July_moscow,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-21,2019-07-21
2,[RU]_July_moscow,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-28,2019-07-28
2,[RU]_July_moscow,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-23,2019-07-23
2,"[UA]_ July",2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-24,2019-07-24
2,"[UA]_ July",2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-25,2019-07-25
2,"[UA]_ July",2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-26,2019-07-26
2,"[UA]_ July",2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-27,2019-07-27
2,"[UA]_ July",2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-28,2019-07-28
2,"[UA]_ July",2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-29,2019-07-29
2,"[UA]_ July",2019-07-30,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-30,2019-07-30
2,"[UA]_ July",2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-23,2019-07-23
1,[RU]_RF,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581120549,23843557581260549,2019-07-10,2019-07-10
4,[RU]_July_spb,2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938880549,23843568938620549,2019-07-29,2019-07-29
2,"[UA]_ July",2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-22,2019-07-22
2,"[UA]_ July",2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-21,2019-07-21
2,"[UA]_ July",2019-07-07,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581020549,23843557581260549,2019-07-07,2019-07-07
"крео видео","[UA]_ July",2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843571420620549,23843568938620549,2019-07-25,2019-07-25
"крео видео","[UA]_ July",2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843571420620549,23843568938620549,2019-07-26,2019-07-26
"крео видео","[UA]_ July",2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843571420620549,23843568938620549,2019-07-27,2019-07-27
"крео видео","[UA]_ July",2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843571420620549,23843568938620549,2019-07-29,2019-07-29
"крео видео","[UA]_ July",2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843571420620549,23843568938620549,2019-07-28,2019-07-28
